id,name,original_title,original_language,overview,genres,status,popularity,adult,vote_average,vote_count,release_date
1617,"Conversation with the Beast","Gespräch mit dem Biest",de,"An American historian (Mr Webster) comes to Berlin to visit an old man who claims to be the real Adolf Hitler and to be 103 years old. The Hitler who died in 1945, the old man says, was just one of his six doubles - one for each weekday - while Hitler himself retired into a bunker below the S-Bahn tracks and married a second time.","[{""id"":35,""name"":""Comedy""}]",Released,1.335,,0,0,1997-02-20
1618,"The Wounded Man","L'Homme blessé",fr,"Henri is a lonely, isolated young man who lets no one get close to him. He meets a street hustler and comes out of his shell, going 180 degrees into gay obsession. Though he has yet to physically approach the object of his affection, Henri builds up so much unrequited lust that it explodes with horrible results.","[{""id"":10749,""name"":""Romance""},{""id"":80,""name"":""Crime""},{""id"":27,""name"":""Horror""}]",Released,3.562,,5.5,30,1983-05-25
1619,"God Does Not Believe in Us Anymore","Wohin und Zurück - An uns glaubt Gott nicht mehr",de,"After his father is murdered by the Nazis in 1938, a young Viennese Jew named Ferry Tobler flees to Prague, where he joins forces with another expatriate and a sympathetic Czech relief worker. Together with other Jewish refugees, the three make their way to Paris, and, after spending time in a French prison camp, eventually escape to Marseille, from where they hope to sail to a safe port.","[{""id"":18,""name"":""Drama""},{""id"":10752,""name"":""War""}]",Released,3.159,,7,5,1982-05-16
1620,"A Pyromaniac's Love Story","A Pyromaniac's Love Story",en,"A pastry boy and the son of a hair-piece mogul become involved in an arson scandal. Sergio is offered a bribe in exchange for taking the blame for the fire that destroys his workplace. Garet, the real arsonist, is apalled that someone else would try to take credit for his act of love. Before long, Sergio and Garet become entangled in a zany love-quadrangle involving Hattie and Stephanie. Written by Brian Whiting","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,3.618,,4.8,10,1995-04-28
1621,Inkheart,Inkheart,en,"The adventures of a father and his young daughter, in their search for a long lost book that will help reunite a missing, close relative.","[{""id"":12,""name"":""Adventure""},{""id"":10751,""name"":""Family""},{""id"":14,""name"":""Fantasy""}]",Released,21.757,,6.292,2089,2008-12-11
1622,Beowulf,Beowulf,en,"A 6th-century Scandinavian warrior named Beowulf embarks on a mission to slay the man-like ogre, Grendel.","[{""id"":12,""name"":""Adventure""},{""id"":28,""name"":""Action""},{""id"":16,""name"":""Animation""}]",Released,25.479,,5.896,2797,2007-11-05
1623,Hurenglück,Hurenglück,en,,"[{""id"":53,""name"":""Thriller""}]",Released,1.28,,9,1,1991-01-27
1624,"In the Name of the King: A Dungeon Siege Tale","In the Name of the King: A Dungeon Siege Tale",en,"A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son – two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian.","[{""id"":12,""name"":""Adventure""},{""id"":14,""name"":""Fantasy""},{""id"":28,""name"":""Action""},{""id"":18,""name"":""Drama""}]",Released,19.743,,4.7,831,2007-11-29
1625,Prime,Prime,en,"A career driven professional from Manhattan is wooed by a young painter, who also happens to be the son of her psychoanalyst.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,12.276,,5.962,793,2005-09-21
1626,"The Long Run","The Long Run",en,"A failed track coach finally finds someone who he believes has what it takes to win. The Comrades Marathon is a 90-k race in South Africa. An aging running coach, Barry, wants to field a winner; he's working with four men from a factory, but when he's fired to make way for a smooth, corporate type, he's at loose ends. Then he sees Christine, a Namibian immigrant who runs to forget her troubles. He offers to coach her and soon she's living at his house, following his diet and training regimen. But his single-mindedness gets to her: she wants a job and a place of her own. Plus, the man who replaced Barry likes her and wants her away from Barry. Can runner and coach (woman and man, African and European) sort out their complex relationship before the race? Written by","[{""id"":18,""name"":""Drama""}]",Released,3.165,,6.3,8,2001-05-04
1627,"The Story of an African Farm","The Story of an African Farm",en,"The 1870's. South Africa. Life is normal at the farm on the slopes of a Karoo Kopje.Things change when the sinister, eccentric Bonaparte Blenkins with bulbous nose and chimney pot hat arrives. Their childhood is disrupted by the bombastic Irishman who claims blood ties with Wellington and Queen Victoria and so gains uncanny influence over the girls' gross stupid stepmother.","[{""id"":18,""name"":""Drama""},{""id"":10751,""name"":""Family""}]",Released,2.226,,4.9,5,2004-10-08
1628,Pilgrim,Pilgrim,en,"A beautiful artist helps an amnesiac piece together his identity and evade a gangster on his trail.","[{""id"":53,""name"":""Thriller""},{""id"":28,""name"":""Action""},{""id"":9648,""name"":""Mystery""}]",Released,2.736,,5.7,14,2000-03-31
1629,"The Dust Factory","The Dust Factory",en,"Ryan is a teenager who lacks the ability to speak. One day, Ryan falls off a bridge and he finds himself transported to a strange fantasy world where he encounters his Grandpa Randolph and a pretty girl named Melanie; together, Ryan and Melanie learn to help one another with their problems, and they both discover the wisdom they can gain from elders like Grandpa Randolph.","[{""id"":14,""name"":""Fantasy""},{""id"":18,""name"":""Drama""},{""id"":878,""name"":""Science Fiction""},{""id"":10751,""name"":""Family""}]",Released,4.045,,5.7,43,2004-10-15
1630,"Executive Decision","Executive Decision",en,"Terrorists hijack a 747 inbound to Washington D.C., demanding the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers.","[{""id"":28,""name"":""Action""},{""id"":12,""name"":""Adventure""},{""id"":18,""name"":""Drama""},{""id"":53,""name"":""Thriller""}]",Released,15.111,,6.284,907,1996-03-15
1631,"Married to the Mob","Married to the Mob",en,"Angela de Marco is fed up with her gangster husband's line of work and wants no part of the crime world. When her husband is killed for having an affair with the mistress of mob boss Tony ""The Tiger"" Russo, Angela and her son depart for New York City to make a fresh start. Unfortunately, Tony has set his sights upon Angela -- and so has an undercover FBI agent looking to use her to bust Tony.","[{""id"":35,""name"":""Comedy""},{""id"":80,""name"":""Crime""},{""id"":10749,""name"":""Romance""}]",Released,13.006,,5.9,275,1988-08-19
1632,Sneakers,Sneakers,en,"When shadowy U.S. intelligence agents blackmail a reformed computer hacker and his eccentric team of security experts into stealing a code-breaking 'black box' from a Soviet-funded genius, they uncover a bigger conspiracy. Now, he and his 'sneakers' must save themselves and the world economy by retrieving the box from their blackmailers.","[{""id"":35,""name"":""Comedy""},{""id"":80,""name"":""Crime""},{""id"":18,""name"":""Drama""}]",Released,38.348,,6.898,893,1992-09-09
1633,"Field of Dreams","Field of Dreams",en,"Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice's directions don't stop -- even after the spirits of deceased ballplayers turn up to play.","[{""id"":18,""name"":""Drama""},{""id"":14,""name"":""Fantasy""}]",Released,23.151,,7.101,1472,1989-04-21
1634,"Local Color","Local Color",en,"A successful artist looks back with loving memories on the summer of his defining year, 1974. A talented but troubled 18-year-old aspiring artist befriends a brilliant elderly alcoholic painter who has turned his back on not only art but life. The two form what appears to be at first a tenuous relationship. The kid wants to learn all the secrets the master has locked away inside his head and heart. Time has not been kind to the old master. His life appears pointless to him until the kid rekindles his interest in his work and ultimately gives him the will to live. Together, they give one another a priceless gift. The kid learns to see the world through the master's eyes. And the master learns to see life through the eyes of innocence again. This story is based on a real life experience.","[{""id"":18,""name"":""Drama""}]",Released,4.338,,6.5,22,2008-11-14
